id_pedido,data_pedido,regiao,canal_venda,categoria_produto,produto,quantidade,preco_unitario,desconto,receita,custo,entregue_no_prazo,satisfacao_cliente
840,2025-02-25,Sudeste,Online,Móveis,Armário,2,964.99,0.26,1427.55,961.91,1,8.7
520,2025-02-27,Nordeste,Marketplace,Eletrônicos,Tablet,1,2276.36,0.214,1789.78,1437.62,1,8.8
22,2025-02-07,Norte,Online,Vestuário,Tênis,3,235.7,0.275,512.99,275.5,1,7.5
1112,2025-04-21,Nordeste,Representante,Alimentos,Chocolate,2,32.22,0.038,62.02,44.96,1,9.7
82,2025-01-24,Sul,Online,Alimentos,Suco,4,22.05,0.463,47.35,35.62,0,7.9
987,2025-02-07,Norte,Marketplace,Móveis,Cadeira,2,986.77,0.091,1793.22,1304.48,1,7.1
489,2025-05-04,Sudeste,Loja física,Móveis,Sofá,4,745.37,0.082,2737.21,1928.51,1,7.3
1364,2025-02-24,Sul,Online,Alimentos,Café,1,60.35,0.132,52.38,36.37,1,7.9
459,2025-05-24,Sul,Representante,Móveis,Armário,1,1186.57,0.086,1084.66,708.54,1,7.6
746,2025-02-08,Norte,Loja física,Vestuário,Jaqueta,2,211.58,0.054,400.49,219.23,1,8.3
1108,2025-04-17,Sudeste,Loja física,Beleza,Protetor solar,3,146.85,0.072,408.83,185.93,0,5.3
1196,2025-01-01,Nordeste,Loja física,Eletrônicos,Smartphone,1,1575.59,0.053,1492.82,1214.34,1,7.9
1349,2025-04-17,Sudeste,On line,Alimentos,Café,1,32.81,0.091,29.82,22.32,1,8.1
108,2025-03-13,Nordeste,Loja física,Vestuário,Jaqueta,2,213.73,0.206,339.36,189.54,1,
234,2025-04-14,Sudeste,Marketplace,Móveis,Armário,2,755.18,0.14,1298.44,930.09,1,8.3
289,2025-05-28,Sul,Marketplace,Alimentos,Biscoito,2,54.0,0.034,104.34,71.25,1,8.1
50,2025-03-31,Sul,Representante,Móveis,Sofá,1,847.38,0.019,831.04,585.66,1,9.1
689,2025-05-21,Nordeste,Online,Alimentos,Suco,2,46.42,0.145,79.35,57.15,0,7.2
215,2025-05-24,Centro-Oeste,On line,Móveis,Armário,3,909.17,0.13,2373.67,1710.83,1,9.1
128,2025-05-17,Sul,online,Vestuário,Camisa,2,135.53,0.155,229.15,127.17,1,4.4
451,2025-06-03,Sudeste,On line,Vestuário,Camisa,2,267.79,0.199,429.16,239.58,1,7.7
359,2025-08-02,Sudeste,Marketplace,Alimentos,Suco,1,50.28,0.104,45.06,33.91,1,
1264,2025-01-07,Sudeste,Loja Fisica,Alimentos,Café,3,67.69,0.257,150.87,105.04,1,9.1
485,2025-06-01,Sudeste,Loja física,Alimentos,Chocolate,4,40.42,0.096,146.13,113.21,1,8.8
953,2025-05-20,Sul,Loja física,Alimentos,Chocolate,5,55.06,0.143,236.07,179.59,1,6.5
17,2025-05-30,Nordeste,Loja física,Eletrônicos,,1,1608.83,0.143,1379.5,1066.97,1,7.7
286,2025-05-22,Centro-Oeste,Online,Alimentos,Suco,1,33.43,0.342,21.98,16.02,1,9.1
829,2025-03-31,Sul,Representante,Móveis,Cadeira,3,1476.19,0.098,3992.49,2780.65,1,
1256,2025-02-15,Sul,Loja física,Eletrônicos,Smartphone,2,2882.87,0.131,5010.01,3973.67,1,8.7
1411,2025-01-25,Norte,Loja física,Eletrônicos,Smartphone,1,1940.55,0.168,1614.36,1341.84,1,7.5
667,2025-01-12,Centro-Oeste,Marketplace,Alimentos,Café,2,39.7,0.081,73.0,57.17,1,9.2
1157,2025-04-02,Norte,Online,Eletrônicos,Smartphone,1,1655.07,0.17,1373.52,1015.63,0,5.8
1267,2025-03-26,Centro-Oeste,Representante,Vestuário,Calça,3,249.14,0.026,727.72,392.46,0,7.6
315,2025-01-04,Nordeste,Loja física,Alimentos,Chocolate,2,26.79,0.85,50.13,39.17,1,7.5
571,2025-05-03,Sul,Representante,Eletrônicos,Smartwatch,2,1965.99,0.137,3391.94,2683.91,1,7.7
892,2025-04-21,Sudeste,Online,Vestuário,Jaqueta,3,261.8,0.167,654.23,369.72,1,7.1
1051,2025-05-15,Sudeste,Marketplace,Eletrônicos,Fone Bluetooth,2,1078.41,0.07,2005.54,1518.65,1,9.2
1430,2025-04-27,Sul,Marketplace,Beleza,Protetor solar,1,89.37,0.082,101.57,42.35,1,7.2
81,2025-02-22,Nordeste,Online,Eletrônicos,Notebook,1,2338.86,0.431,1329.96,1123.05,1,6.2
1474,2025-04-06,Norte,Online,Móveis,Mesa,3,728.34,0.148,1861.86,1343.32,1,8.9
605,2025-04-19,Nordeste,Online,Eletrônicos,Fone Bluetooth,2,1425.11,0.474,1499.3,1470.34,1,7.5
732,2025-05-25,Sudeste,Online,Eletrônicos,,4,1371.69,0.1,4936.32,4153.11,1,7.6
265,2025-04-26,Nordeste,Online,Beleza,Perfume,6,114.23,0.143,587.67,285.5,1,7.8
817,2025-05-27,Sul,Loja física,Alimentos,Suco,3,43.28,0.078,119.68,91.55,1,8.3
916,2025-03-16,Norte,Representante,Móveis,Armário,1,1044.4,0.156,1083.71,618.18,1,10.0
226,2025-05-28,Sudeste,Marketplace,Vestuário,Vestido,1,208.71,0.073,139.43,105.19,1,8.5
1115,2025-06-20,Sul,Marketplace,Vestuário,Calça,1,152.09,0.097,137.37,74.52,1,9.0
887,2025-05-18,Sul,Marketplace,Vestuário,Jaqueta,2,208.92,0.215,328.09,180.67,1,8.9
486,2025-05-20,Sudeste,Online,Eletrônicos,Tablet,1,2085.51,0.094,1889.16,1520.61,1,8.6
1040,2025-05-23,Sul,Marketplace,Alimentos,Suco,6,43.91,0.216,206.53,165.18,1,
383,2025-03-27,Sudeste,Loja física,Vestuário,Vestido,3,109.61,0.066,307.29,177.79,1,8.3
253,2025-09-06,Centro-Oeste,Loja física,Beleza,Perfume,4,82.22,0.118,289.97,148.67,0,8.4
1307,2025-01-04,Sudeste,Loja física,Eletrônicos,Smartwatch,2,2015.39,0.121,3544.88,2711.05,1,5.8
117,2025-06-21,Centro-Oeste,Loja física,Móveis,Armário,1,515.33,0.024,503.15,358.91,1,8.4
570,2025-06-29,Sudeste,Marketplace,Vestuário,Calça,5,200.71,0.027,976.07,494.73,1,7.1
7,2025-01-21,Sudeste,Marketplace,Móveis,Sofá,1,915.51,0.222,712.44,484.43,1,10.0
590,2025-01-07,Sudeste,Online,Beleza,Perfume,2,179.41,0.14,308.5,153.24,1,6.2
797,2025-04-25,Sudeste,Marketplace,Móveis,Estante,3,843.72,0.126,2211.19,1616.48,1,6.6
495,2025-01-12,Centro-Oeste,Online,Eletrônicos,Notebook,1,1673.78,0.382,1113.2,827.93,1,8.6
11,2025-03-29,Sul, Online ,Vestuário,Tênis,1,225.17,0.244,170.27,91.69,1,6.8
535,2025-06-01,Nordeste,Online,Eletrônicos,Tablet,2,2087.55,0.418,2431.05,2313.78,1,6.7
159,2025-01-30,Sul,Representante,Vestuário,Calça,1,190.71,0.342,125.57,69.02,1,7.2
1165,2025-06-11,Sul,Loja física,Alimentos,Biscoito,4,47.53,0.046,181.45,128.83,0,8.4
1011,2025-04-15,Sudeste,Online,Alimentos,Azeite,1,51.73,0.059,48.68,35.11,1,9.3
830,2025-02-15,Norte,Marketplace,Eletrônicos,Fone Bluetooth,3,1833.24,0.166,4587.27,3681.86,1,7.7
1197,2025-05-21,Sudeste,Loja física,Vestuário,Vestido,1,227.59,0.145,194.52,108.66,1,7.2
940,2025-05-16,Nordeste,Marketplace,Móveis,Armário,2,795.49,0.134,1378.23,1050.36,1,7.5
579,2025-06-16,Centro-Oeste,Online,Eletrônicos,Notebook,1,1954.03,0.142,1677.27,1327.31,1,
1062,2025-04-07,Centro-Oeste,Representante,Alimentos,Chocolate,2,40.04,0.498,40.24,32.25,1,6.3
375,2025-05-24,Norte,ON-LINE,Eletrônicos,,2,2296.42,0.357,2955.07,2302.2,1,9.1
972,2025-05-18,Sudeste,Loja física,Móveis,Estante,1,1029.44,0.255,766.51,539.76,1,8.4
698,2025-02-25,Nordeste, Online ,Eletrônicos,Smartphone,2,1996.59,0.334,2661.4,2681.7,0,3.7
106,2025-01-28,Sul,Loja física,Vestuário,Jaqueta,2,147.73,0.333,197.18,112.59,1,8.3
726,2025-04-12,Sudeste,Loja física,Móveis,Sofá,2,543.04,0.215,852.32,604.66,0,4.5
998,2025-05-17,Nordeste,Online,Móveis,Cadeira,2,981.95,0.036,1497.12,1269.03,1,8.9
632,2025-01-01,Norte,Online,Alimentos,Café,1,27.76,0.215,21.79,16.91,0,7.0
1185,2025-03-22,Centro-Oeste,Marketplace,Beleza,Maquiagem,3,71.87,0.146,184.14,97.27,0,
298,2025-04-29,Norte, Online ,Móveis,Estante,5,1075.94,0.067,5017.75,3196.14,1,7.8
1379,2025-05-09,Nordeste,Loja física,Alimentos,Biscoito,3,31.59,0.164,79.23,63.03,0,8.0
1331,2025-03-27,Sudeste,Online,Alimentos,Suco,6,59.04,0.348,231.07,179.18,1,7.6
20,2025-03-29,Norte,Representante,Eletrônicos,Notebook,2,1525.87,0.287,2175.94,1719.05,1,8.1
1193,2025-04-14,Sudeste,Online,Alimentos,Suco,2,30.93,0.019,60.71,47.82,1,8.7
1355,2025-05-29,Centro-Oeste,Loja física,Alimentos,Café,1,52.15,0.25,39.12,28.78,1,
1235,2025-06-27,Sul,Loja Fisica,Alimentos,Suco,2,30.57,0.102,54.92,43.36,1,8.5
434,2025-05-09,Centro-Oeste,Loja Fisica,Eletrônicos,Smartphone,1,1625.99,0.287,1158.83,838.25,1,7.1
507,2025-02-15,Sudeste,Loja Fisica,Móveis,,1,1059.82,0.133,918.57,637.74,1,7.7
166,2025-05-01,Norte,Loja física,Vestuário,Camisa,3,188.49,0.195,455.04,245.3,0,5.4
1445,2025-06-01,Sul,Loja física,Eletrônicos,Smartwatch,1,1451.58,0.139,1250.1,932.4,0,6.4
306,2025-01-27,Sudeste,Online,Eletrônicos,Notebook,1,2066.87,0.273,1501.61,1193.2,1,7.7
24,2025-01-21,Sul,Marketplace,Alimentos,Suco,5,45.77,0.171,189.65,137.64,1,7.7
858,2025-01-28,Norte,Marketplace,Vestuário,Camisa,4,317.69,0.477,664.37,361.72,1,7.9
738,2025-06-22,Centro-Oeste,Representante,Eletrônicos,Notebook,2,1796.07,0.278,2594.36,1940.21,1,
722,2025-02-24,Sudeste,Representante,Alimentos,Biscoito,1,37.46,0.202,29.88,21.72,1,7.7
809,2025-04-06,Centro-Oeste,Loja física,Móveis,Armário,2,1181.86,0.219,1844.92,1313.42,1,9.1
1371,2025-02-05,Sul,Loja física,Vestuário,Jaqueta,1,275.94,0.156,232.92,126.3,1,7.3
1195,2025-12-03,Nordeste,Online,Vestuário,Calça,3,148.44,0.065,416.46,235.1,1,7.7
999,2025-06-11,Sudeste,Marketplace,Vestuário,Jaqueta,1,164.5,0.013,162.38,91.81,1,8.6
947,2025-06-03,Sul,Loja física,Móveis,Sofá,4,881.8,0.157,2974.63,2133.24,1,9.0
989,2025-04-04,Sul,Online,Alimentos,,2,62.11,0.2,99.41,81.69,1,7.5
514,2025-06-03,Centro-Oeste,Representante,Beleza,Protetor solar,1,85.02,0.11,75.68,37.72,1,6.3
1059,2025-06-13,Norte,loja fisica,Alimentos,Biscoito,1,60.5,0.059,56.91,41.33,1,8.6
970,2025-01-05,Centro-Oeste,Representante,Eletrônicos,Fone Bluetooth,1,1420.99,0.059,1336.52,948.37,1,8.2
936,2025-04-04,Norte,Loja física,Alimentos,Café,1,28.93,0.099,26.06,18.0,1,8.2
1048,2025-06-28,Sul,Online,Eletrônicos,Smartwatch,1,1975.29,0.151,1677.58,1238.45,1,8.9
1419,2025-02-16,Sudeste,Marketplace,Eletrônicos,Smartphone,1,1635.1,0.128,1426.1,1165.78,1,8.0
100,2025-06-12,Norte,Loja física,Eletrônicos,Tablet,5,2118.6,0.184,8644.91,6178.87,1,6.5
855,2025-05-07,Norte,On line,Vestuário,Camisa,3,182.99,0.057,517.82,281.25,1,8.9
413,2025-02-21,Centro-Oeste,Loja física,Vestuário,Calça,2,162.4,0.017,319.28,168.86,1,6.9
1482,2025-10-01,Sul,loja fisica,Vestuário,Vestido,1,190.25,0.302,132.73,70.07,1,9.8
842,2025-04-17,Nordeste,Loja física,Eletrônicos,Fone Bluetooth,1,1475.9,0.169,1226.77,993.64,1,6.8
1132,2025-01-11,Nordeste,Loja física,Vestuário,Jaqueta,2,141.79,0.036,273.35,146.36,0,5.4
469,2025-04-10,Sul,Online,Eletrônicos,Smartwatch,2,2317.01,0.045,4425.43,3422.37,1,8.4
317,2025-02-18,Centro-Oeste,Marketplace,Vestuário,Camisa,3,192.05,0.057,543.39,301.69,1,7.7
711,2025-03-04,Centro-Oeste,online,Móveis,,2,1516.76,0.05,2880.33,2052.05,1,
742,2025-03-02,Sudeste,Online,Eletrônicos,Tablet,2,2357.18,0.232,3622.05,2765.06,1,9.4
1207,2025-05-24,Norte,Representante,Móveis,Estante,4,1073.19,0.222,3341.54,2363.83,1,7.6
995,2025-03-19,Sudeste,Loja física,Eletrônicos,Smartphone,4,1572.31,0.069,5853.32,4658.07,1,8.5
1080,2025-06-06,Sudeste,Marketplace,Móveis,Sofá,1,1016.93,0.201,812.68,566.71,1,6.8
197,2025-03-28,Sul,Representante,Eletrônicos,Fone Bluetooth,5,2498.79,0.019,12252.4,9385.29,1,7.0
696,2025-06-02,Centro-Oeste,Marketplace,Móveis,Armário,1,1173.41,0.204,954.45,655.61,1,8.2
1144,2025-02-24,Centro-Oeste,Marketplace,Beleza,Protetor solar,1,122.77,0.125,107.38,55.12,1,7.6
1161,2025-03-16,Nordeste,Loja física,Beleza,Protetor solar,1,120.4,0.093,109.21,60.04,1,9.1
749,2025-04-28,Norte,Online,Alimentos,Café,6,48.73,0.19,236.81,179.55,1,10.0
944,2025-02-13,Sudeste,Online,Alimentos,Suco,2,45.34,0.116,80.16,60.19,1,8.4
1453,2025-04-18,Sudeste,Online,Beleza,Protetor solar,2,105.51,0.167,175.7,92.19,1,8.5
1284,2025-05-01,Sul,Representante,Eletrônicos,Fone Bluetooth,3,1963.67,0.089,5367.26,3887.83,1,8.3
499,2025-06-17,Centro-Oeste,Loja física,Eletrônicos,Smartphone,1,1850.93,0.292,1310.71,993.25,0,8.3
1073,2025-02-07,Nordeste,Online,Alimentos,Biscoito,2,61.51,0.183,100.5,72.88,1,9.0
399,2025-08-01,Sudeste,Representante,Móveis,Mesa,1,889.38,0.212,700.96,491.61,0,5.8
1467,2025-06-19,Sul,Representante,Móveis,Cadeira,2,710.78,0.233,1090.22,790.46,1,8.8
1447,2025-02-14,Sudeste,Marketplace,Alimentos,Chocolate,1,38.11,0.176,31.4,22.78,1,8.4
1229,2025-04-20,Norte,Marketplace,Vestuário,Tênis,1,139.59,0.058,131.53,76.03,1,8.0
186,2025-02-08,Sudeste,Representante,Móveis,Armário,4,681.65,0.123,2392.26,1605.38,1,7.8
1069,2025-05-03,Sul,Marketplace,Alimentos,Suco,1,41.13,0.416,24.02,16.39,1,
239,2025-08-06,Sudeste,Representante,Beleza,,1,170.53,0.254,127.29,68.39,1,
220,2025-01-03,Sul,Representante,Eletrônicos,Tablet,5,1627.86,0.052,7718.51,5533.84,1,7.3
592,2025-05-21,Sudeste,Loja Fisica,Móveis,Cadeira,1,1063.03,0.093,964.63,724.82,1,9.3
524,2025-04-30,Sudeste,Marketplace,Eletrônicos,Smartphone,2,1588.91,0.063,2977.47,2235.6,0,5.6
693,2025-03-23,Sudeste,Marketplace,Eletrônicos,Fone Bluetooth,6,2421.54,0.142,12460.84,10104.66,1,8.0
1082,2025-01-05,Sul,Online,Eletrônicos,Smartwatch,3,1359.54,0.158,3435.84,2659.24,1,10.0
192,2025-03-22,Centro-Oeste,Marketplace,Móveis,Armário,3,706.84,0.175,1750.1,1176.16,0,7.3
196,2025-02-23,Sudeste,Online,Eletrônicos,Fone Bluetooth,3,1554.02,0.046,4445.74,3328.48,1,6.2
180,2025-04-06,Nordeste,Loja física,Eletrônicos,Fone Bluetooth,2,1880.28,0.066,3511.07,2823.01,1,7.9
690,2025-02-15,Sul,Marketplace,Beleza,Hidratante,1,192.81,0.199,154.42,77.44,0,7.8
1356,2025-01-11,Sul,Loja física,Móveis,Cadeira,1,442.61,0.053,419.18,282.73,1,
649,2025-05-29,Nordeste,Online,Beleza,Maquiagem,2,117.51,0.182,192.3,90.77,1,8.3
1369,2025-02-25,Sul,Loja física,Eletrônicos,Smartwatch,2,1592.26,0.407,1887.0,1483.21,1,8.9
896,2025-06-17,Sudeste,Online,Móveis,Estante,2,805.35,0.136,1391.23,959.84,1,7.5
1179,2025-03-04,Norte,Loja física,Beleza,Hidratante,2,138.41,0.071,257.29,132.98,1,8.4
1037,2025-04-07,Norte,Marketplace,Vestuário,Vestido,1,157.07,0.154,132.83,76.5,1,8.9
1247,2025-04-02,Nordeste,Loja física,Alimentos,Biscoito,1,46.18,0.121,40.58,30.21,0,7.0
888,2025-03-08,Sudeste,Marketplace,Vestuário,Vestido,1,227.86,0.085,208.53,110.1,1,7.2
1168,2025-05-08,Nordeste,Representante,Beleza,Hidratante,3,108.4,0.062,216.06,156.06,1,9.8
247,2025-04-23,Centro-Oeste,Marketplace,Eletrônicos,Smartphone,1,2212.01,0.015,2179.52,1692.23,0,6.7
755,2025-05-13,Centro-Oeste,Loja física,Alimentos,Biscoito,1,42.93,0.076,39.66,29.9,1,7.7
246,2025-03-01,Sudeste,Online,Beleza,Shampoo,1,155.48,0.247,117.0,58.42,0,7.4
216,2025-07-04,Nordeste,Representante,Vestuário,Calça,3,165.22,0.058,466.8,263.26,0,4.0
1238,2025-01-08,Sudeste,Representante,Eletrônicos,Notebook,3,1450.52,0.273,3163.76,2455.49,1,9.0
334,2025-06-10,Sul,Loja física,Eletrônicos,Tablet,3,1750.61,0.218,4107.44,3122.03,1,7.9
1353,2025-01-26,Centro-Oeste,Online,Móveis,Cadeira,1,919.87,0.049,874.72,582.09,1,9.1
627,2025-05-28,Sudeste,Loja física,Móveis,Armário,2,657.14,0.082,1206.8,905.65,1,7.7
1075,2025-06-08,Sul,Representante,Móveis,Cadeira,3,750.82,0.027,2190.75,1500.21,1,5.9
625,2025-06-05,Sudeste,Loja física,Móveis,Sofá,6,755.52,0.077,4182.26,2733.43,1,10.0
350,2025-07-05,Centro-Oeste,Loja física,Eletrônicos,Notebook,1,2197.64,0.032,2127.14,1620.17,0,7.7
1155,2025-06-03,Sudeste,Loja física,Móveis,Mesa,1,723.41,0.089,659.1,462.46,1,10.0
1301,2025-01-14,Sudeste,Loja física,Vestuário,Tênis,1,209.49,0.151,177.79,100.62,1,9.5
1060,2025-06-06,Sul,Loja física,Vestuário,Camisa,1,194.45,0.081,178.71,103.78,1,8.0
91,2025-03-12,Sudeste,ON-LINE,Eletrônicos,Notebook,3,1353.21,0.111,3610.47,2669.95,1,5.4
6,2025-03-13,Nordeste,Loja física,Beleza,,4,226.46,0.205,719.84,345.23,1,8.1
467,2025-01-10,Sudeste, Online ,Alimentos,Café,2,38.36,0.231,59.01,41.23,1,5.7
642,2025-02-27,Sudeste,Marketplace,Móveis,Estante,1,974.38,0.056,919.62,608.23,1,8.3
1348,2025-02-23,Nordeste,Online,Vestuário,Calça,2,197.49,0.33,264.53,143.22,1,7.7
480,2025-03-21,Sudeste,Online,Vestuário,Vestido,1,155.26,0.31,107.15,57.71,0,5.9
979,2025-03-06,Sudeste,Loja física,Móveis,Armário,1,786.46,0.339,519.82,383.61,1,8.4
1241,2025-03-08,Sul,Online,Vestuário,Jaqueta,5,169.97,0.135,735.1,385.75,0,7.5
10,2025-03-16,Sudeste,Marketplace,Eletrônicos,Notebook,2,1264.16,0.011,2501.55,1909.26,1,
1459,2025-06-02,Norte, Online ,Eletrônicos,Smartwatch,1,1506.62,0.202,1201.59,952.39,1,7.0
568,2025-05-20,Norte,Marketplace,Alimentos,Biscoito,1,41.71,0.01,41.29,29.63,1,8.7
857,2025-01-14,Sudeste,Online,Eletrônicos,Notebook,2,2811.18,0.014,4016.76,4507.7,0,5.3
322,2025-04-27,Centro-Oeste,Loja física,Móveis,Armário,2,802.95,0.141,1379.35,965.89,0,8.2
1450,2025-02-06,Nordeste,Online,Eletrônicos,Smartphone,1,1951.95,0.85,1125.98,1027.12,1,7.2
26,2025-02-27,Sudeste,Marketplace,Alimentos,Café,4,51.65,0.23,159.1,127.75,1,8.7
70,2025-02-23,Sudeste,Loja física,Vestuário,,2,202.1,0.088,368.44,209.28,1,7.7
496,2025-03-08,Nordeste,Online,Móveis,Cadeira,3,817.96,0.065,2294.09,1639.86,1,8.0
1435,2025-03-13,Nordeste,Marketplace,Vestuário,Calça,1,184.03,0.108,164.14,93.33,1,8.7
1478,2025-01-29,Sudeste,Loja física,Alimentos,Chocolate,3,37.47,0.068,104.79,83.6,1,7.8
540,2025-01-13,Nordeste,Marketplace,Eletrônicos,Notebook,1,3031.75,0.094,2747.0,2183.97,1,7.6
33,2025-06-24,Sudeste, Online ,Alimentos,Suco,1,19.95,0.178,16.4,11.8,1,7.8
1312,2025-02-06,Centro-Oeste,Online,Alimentos,Suco,3,65.39,0.109,174.74,129.95,1,8.5
430,2025-01-23,Nordeste,Marketplace,Beleza,Perfume,2,116.53,0.045,222.47,109.32,1,6.9
906,2025-02-28,Sudeste, Online ,Móveis,Estante,4,855.4,0.199,2740.24,2013.97,1,5.6
228,2025-02-21,Sudeste,Online,Vestuário,Vestido,5,272.66,0.029,1323.81,747.46,1,7.2
474,2025-04-06,Sudeste,Loja física,Móveis,Cadeira,2,658.19,0.045,1257.53,895.51,1,9.2
853,2025-06-29,Sudeste,Online,Beleza,Hidratante,2,109.57,0.336,145.52,74.42,1,8.6
1320,2025-02-10,Sudeste,Online,Vestuário,Tênis,1,140.68,0.117,124.18,72.39,1,8.6
279,2025-03-23,Centro-Oeste,Representante,Beleza,Perfume,1,129.03,0.159,108.56,57.94,1,9.0
1347,2025-05-10,Nordeste,Online,Alimentos,Biscoito,3,54.74,0.167,136.82,99.82,1,9.3
288,2025-02-17,Centro-Oeste,Online,Móveis,Cadeira,4,732.59,0.373,1837.79,1301.92,1,8.5
41,2025-01-21,Sul,Marketplace,Alimentos,Azeite,2,34.17,0.136,59.07,44.17,1,7.4
304,2025-08-01,Sudeste,Loja física,Vestuário,Camisa,1,151.18,0.222,117.65,62.77,1,8.4
211,2025-03-10,Sudeste,online,Móveis,Estante,1,1068.02,0.118,941.76,646.17,1,5.5
639,2025-06-15,Nordeste,On line,Beleza,Shampoo,3,114.97,0.101,310.14,141.82,1,8.4
766,2025-04-13,Centro-Oeste,Marketplace,Eletrônicos,Tablet,2,2332.99,0.064,4368.3,3405.67,1,7.9
734,2025-03-19,Centro-Oeste,Online,Alimentos,Azeite,1,29.71,0.114,26.32,18.03,1,7.7
394,2025-06-19,Sudeste,Online,Vestuário,Jaqueta,2,156.68,0.131,320.05,149.94,0,5.5
1372,2025-05-28,Sudeste,Loja física,Eletrônicos,Smartwatch,2,2049.41,0.035,3954.53,3186.16,1,7.5
1100,2025-03-15,Sul,Loja física,Móveis,Mesa,1,1035.75,0.062,971.46,637.59,1,9.6
1304,2025-01-25,Nordeste,Loja física,Alimentos,Chocolate,2,36.52,0.143,62.59,46.44,1,6.2
818,2025-01-21,Sudeste,Online,Móveis,Armário,2,885.39,0.084,1621.85,1124.95,1,9.4
1027,2025-05-26,Sudeste,Marketplace,Móveis,Armário,2,1133.84,0.071,2107.28,1546.81,1,9.6
1415,2025-02-28,Sudeste,Loja física,Móveis,Cadeira,3,1088.35,0.163,2733.1,1979.47,1,6.0
313,2025-02-17,Centro-Oeste,Loja física,Beleza,Hidratante,1,128.14,0.209,101.35,49.81,0,6.9
49,2025-01-09,Nordeste,On line,Vestuário,Calça,1,272.76,0.263,200.93,116.82,1,9.8
36,2025-02-24,Centro-Oeste,ON-LINE,Eletrônicos,Notebook,1,2662.9,0.104,2386.99,1789.73,0,7.0
801,2025-04-05,Sudeste,Online,Beleza,Protetor solar,3,182.94,0.115,485.75,253.15,1,7.7
345,2025-04-24,Norte,Marketplace,Beleza,Protetor solar,1,106.3,0.325,71.73,35.87,0,7.6
87,2025-01-15,Sudeste,Online,Alimentos,Biscoito,1,27.06,0.123,23.74,15.98,1,7.0
443,2025-03-30,Sul,Online,Vestuário,Vestido,1,215.2,0.244,162.74,87.43,1,9.6
257,2025-02-17,Sudeste,Loja física,Móveis,Cadeira,3,947.21,0.128,2479.17,1741.55,1,7.7
1088,2025-05-10,Sudeste,Online,Móveis,Estante,1,765.43,0.229,590.45,409.4,1,8.1
1151,2025-05-17,Nordeste,Loja física,Beleza,Maquiagem,1,143.38,0.148,122.22,63.87,1,7.9
949,2025-03-09,Sul,Loja física,Alimentos,Suco,1,46.83,0.133,40.62,29.35,1,6.9
